ID,Lat,Long,Name
L79,34.0632365,-118.1241546,,default
L80,34.0628376,-118.1175256,,default
L81,34.0627077,-118.1182113,,default
L82,34.0629268,-118.1165197,,default
L83,34.0627046,-118.1169312,,default
L84,34.06286180000001,-118.1156511,,default
L85,34.0620757,-118.1244746,,default
L86,34.162471,-118.1658744,,"=HYPERLINK(""https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=XB5KKOgr7ZHG2RjEhr1CBQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=185.75749&pitch=0&thumbfov=100"" , ""link"")"
L87,34.1624451,-118.1659261,,"=HYPERLINK(""https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=XB5KKOgr7ZHG2RjEhr1CBQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=185.75749&pitch=0&thumbfov=100"" , ""link"")"
L88,34.1694191,-118.1063242,,default
L89,34.1606422,-118.1654592,,"=HYPERLINK(""https://lh5.googleusercontent.com/p/AF1QipMnJy-mrKPUoS0zsM7r3y6XZuPNTfJBnVliQeW_=w408-h306-k-no"" , ""link"")"
L90,34.16052949999999,-118.1654608,,"=HYPERLINK(""https://lh5.googleusercontent.com/p/AF1QipMnJy-mrKPUoS0zsM7r3y6XZuPNTfJBnVliQeW_=w408-h306-k-no"" , ""link"")"
L91,34.2052394,-118.2156553,,default
L92,34.1662741,-118.1843074,,default
L93,34.2060719,-118.2171167,,"=HYPERLINK(""https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=vflfSLjM5QM85Ds1DF5fSA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=69.17894&pitch=0&thumbfov=100"" , ""link"")"
L94,34.2057513,-118.2176886,,"=HYPERLINK(""https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=0AFzfGeWZD3E8_13hPrWow&cb_client=search.gws-prod.gps&w=408&h=240&yaw=202.92932&pitch=0&thumbfov=100"" , ""link"")"
L95,34.15865460000001,-118.1682922,,"=HYPERLINK(""https://lh5.googleusercontent.com/p/AF1QipMlF9QAczAH4JiozUX8ty_UNPZhfmXu9dgNiNDb=w408-h928-k-no"" , ""link"")"
L96,34.1586546,-118.1682922,,"=HYPERLINK(""https://lh5.googleusercontent.com/p/AF1QipMlF9QAczAH4JiozUX8ty_UNPZhfmXu9dgNiNDb=w408-h928-k-no"" , ""link"")"
L97,34.2056107,-118.2192509,,"=HYPERLINK(""https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=RGibBEJVm2C2gizIxuWVJQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=285.70563&pitch=0&thumbfov=100"" , ""link"")"
L98,34.1581006,-118.1696314,,"=HYPERLINK(""https://lh5.googleusercontent.com/p/AF1QipOmhAbiL4uPRM8JPJybPhhRzo6sD32h8uHdPeQa=w408-h306-k-no"" , ""link"")"
L99,34.15810059999999,-118.1696314,,"=HYPERLINK(""https://lh5.googleusercontent.com/p/AF1QipOmhAbiL4uPRM8JPJybPhhRzo6sD32h8uHdPeQa=w408-h306-k-no"" , ""link"")"
L100,34.1542628,-118.166446,,"=HYPERLINK(""https://lh5.googleusercontent.com/p/AF1QipO6Q44142T0nbK6xrbR9Z-PU3Aoq2J3_utn70yZ=w408-h544-k-no"" , ""link"")"
L101,34.1507496,-118.1457315,,default
L102,34.1845219,-118.2160209,,default
L103,34.21627429999999,-118.1463564,,"=HYPERLINK(""https://lh5.googleusercontent.com/p/AF1QipMyVGQEvUmw-oLcqXt-QIZ7B23fDJXNmkh246I=w493-h240-k-no"" , ""link"")"
L104,34.2175152,-118.1588501,,"=HYPERLINK(""https://lh5.googleusercontent.com/p/AF1QipNM8yCQ_hHP8k8-ZTQ91M6j7bVfynLk88iDmBEa=w408-h240-k-no-pi-10-ya141.00002-ro0-fo100"" , ""link"")"
L105,34.20026650000001,-118.1762638,,default
L106,34.1931301,-118.1686798,,default
L107,34.1931193,-118.168677,,default
L108,34.1927837,-118.1758068,,default
L109,34.18586800000001,-118.121244,,default
L110,34.1697369,-118.1512625,,default
L111,34.1744709,-118.1721048,,default
L112,34.1694142,-118.1493427,,default
L113,34.1692164,-118.1509425,,default
L114,34.239387,-118.0933846,,default
L115,34.2395124,-118.0932017,,default
L116,34.26812090000001,-118.145768,,"=HYPERLINK(""https://lh5.googleusercontent.com/p/AF1QipN6PR7FBxzrcSOVNnJ0pd-yCIcLOfDH9LwxFGDv=w426-h240-k-no"" , ""link"")"
L117,34.2638892,-118.1740902,,"=HYPERLINK(""https://lh5.googleusercontent.com/p/AF1QipMqb26BpQHMX3q_oRYKWwc4KTtNvLwOZiROccJ0=w408-h265-k-no"" , ""link"")"
L118,34.2694228,-118.140109,,default
